id;user_id;course_id;title;section_id;exam_date;number_of_questions;time_limit;score
74ca2377-979a-4c3e-a777-bc81fe0e182d;Small Global;enable Music;Internal transmitting;Tugrik synthesize emulation;2023-02-17;31162;35340;26389
c41f62d5-e27a-4f4e-ae28-a021f8a3fbcf;Estate;neural-net Tactics Zimbabwe;Berkshire;plug-and-play Kina;2023-02-17;23655;30423;25179
03ddb706-8192-40d1-896a-86574a503a28;Carolina Reduced;wireless National;USB;frictionless hack;2023-02-17;34210;84518;15278
dc442877-ad35-41c7-a3b2-358c2385c425;neural-net;Canyon Kyat back-end;circuit alliance;pink pink Ergonomic;2023-02-16;9746;15682;97553
2debd907-41ce-435b-941b-4602db73efb3;Intelligent orange;Oklahoma Response copying;pink Savings;Computer IB;2023-02-16;25256;20381;60269
43310e9f-4bca-419d-85c2-566208cf4f98;firewall;Rustic;efficient schemas withdrawal;yellow Fantastic bi-directional;2023-02-17;3524;64854;12020
9a26b137-d954-40dc-b25f-c40645e0fcd5;proactive;Plastic HTTP connect;Data JSON Functionality;Boliviano;2023-02-17;49453;81671;68846
e7339440-44f4-4637-a874-ea34afee7a2c;metrics Avon;Loan;synthesize collaborative;HDD;2023-02-17;20992;47061;25764
de8cebdb-e934-46a8-8260-a42b9386a3fd;users Prairie;Sausages calculate Shoes;Manager;Analyst indigo;2023-02-17;58242;84862;70004
d9918dcf-3ede-4f17-8f62-74c1fa3d086f;Account needs-based;Frozen Hat solid;Handmade Cedi Developer;Utah;2023-02-16;6555;58346;61334
