id;user_id;course_id;title;section_id;exam_date;number_of_questions;time_limit;score
d14027bb-54dd-4b1a-b68c-9d8a2359c46a;Handcrafted;Credit neural-net;Planner;Sleek Frozen;2023-02-16;8576;39733;54965
92b21837-eb4e-4d40-a34d-461c284bddd4;Cotton Cambridgeshire synthesize;Shoes Garden;Soft Steel;Bedfordshire;2023-02-17;93259;60360;39332
d521abdd-4301-4610-a43d-1f5e1668c208;California Estonia;core driver;foreground red sky;deposit;2023-02-16;46884;55264;96040
764b5038-2934-4f4d-8fa8-3803eb49b858;SCSI Handcrafted;deploy indexing;Grocery Handmade pixel;FTP program ubiquitous;2023-02-16;34816;86967;80071
4c70a564-8bef-4cdd-9ff9-a5c850fcc92c;Cape Ball;deposit synthesizing;Junction neural;hierarchy;2023-02-16;52316;54335;79068
f7a5ffd1-3616-466f-ada3-29640adf73f8;silver;Hat;quantifying Customer;Consultant Avon whiteboard;2023-02-17;43771;48921;82321
7cb66123-672d-4a4e-9d31-849df56e823e;Assistant responsive;Programmable;Architect;drive violet;2023-02-16;57462;37962;23189
4e7e8f88-ab92-4c9a-ada7-63ba800e2322;Games magnetic Table;card Baby Bike;Product channels feed;virtual;2023-02-16;25727;9885;11446
5d34cbd6-bf4d-471f-80cf-d120a25bdefe;Focused Haven Alabama;Soft azure Money;Parkways Universal channels;Orchestrator implementation Mountains;2023-02-17;4962;50186;81420
35a3b2e8-774d-4abc-9b4a-f21b2f4c027e;Malaysia communities;methodologies Colorado;Brand Avon Handmade;TCP user-centric Developer;2023-02-17;72498;10203;85093
