id;course_id;user_id;enrolled_date;completion_rate;completed_date
579ec354-75f8-4a02-8093-390a8984d614;hacking system;Keyboard Sleek synthesize;2023-02-16;68475;2023-02-17
7477c416-ecc1-4d8d-9df5-6b7611fec46e;pixel Steel;program Producer;2023-02-17;84519;2023-02-17
d097f18a-2813-40c6-94c5-41b648de0a1b;parsing withdrawal sensor;Rufiyaa Shirt;2023-02-17;254;2023-02-17
3d2223f6-64f2-401d-9cdd-12c7b3036aa3;Cotton Regional Investor;static system-worthy Intelligent;2023-02-17;618;2023-02-16
1d3c9590-d23d-457e-b36e-1e7dd72f7986;hacking;Kyat RSS payment;2023-02-17;3418;2023-02-17
b09cfc73-c9b3-4f46-81c0-957bd1821b5f;compressing Uganda Liberian;Chief;2023-02-17;64674;2023-02-17
10f7928e-cf2d-4c83-8b73-51b49cda10b2;copying;deposit;2023-02-17;12685;2023-02-17
ce7fa20c-aa71-439c-b007-7eb0078b5278;Soap;interactive;2023-02-17;42347;2023-02-17
5ab56d7e-a3bb-4f69-9939-500a6ad59d6f;Computers Som Digitized;generating;2023-02-17;71572;2023-02-16
6d744428-6361-479f-81dc-c422af2f4ba2;microchip;bypass interface Mouse;2023-02-17;85686;2023-02-17
