id;text;question_id;correct;assessment_id;assignment_id;quizz_id
cd582414-64ae-4c44-98c7-5dffb75abc62;EXE connect;back-end Incredible cutting-edge;false;Associate;transmitter bleeding-edge Dynamic;scalable
1e48f318-805b-4e27-b9c4-5fa9707cae9c;RSS Plastic;white Tuna;true;pixel Dominican;disintermediate Developer online;Mouse
5920428d-4b5c-4e8a-9003-3f28c1a8ba14;calculating;Djibouti Applications needs-based;true;Account Rustic;withdrawal embrace Buckinghamshire;Infrastructure embrace
04054081-7e44-42a5-8cc0-bd02dded51a5;Michigan Regional engine;incremental bleeding-edge invoice;false;1080p Tactics Bedfordshire;Rapid;CSS Carolina
53bff94f-c136-4bf9-b55a-72462aa66475;Refined Solutions Peso;eyeballs;true;analyzer solutions compress;input Maine protocol;Bedfordshire
628c003a-571a-4243-9bf8-e3560200eeb8;blue;Liaison;false;navigate transmitting;override program Vista;Computers
7c4d9f7e-35de-4abb-bab2-a1f4a763fe2c;Incredible Intranet;system Tasty;false;Concrete technologies;HDD;Health e-commerce
8ec5e2f4-09ea-4781-90ee-397d688493b9;forecast;Generic;true;array Beauty haptic;frictionless;Account Western
724d958e-282d-405a-95f4-c94c36c75639;disintermediate Carolina HDD;content AGP Naira;true;Singapore Computers;primary;up whiteboard
5ff159a9-73cc-4562-9724-c89453860b6f;invoice;Fantastic application Croatian;true;Intranet Games multi-byte;Principal attitude-oriented incubate;Sleek facilitate copy
