id;user_id;course_id;title;section_id;exam_date;number_of_questions;time_limit;score
1a74f5e4-7730-45fb-81cc-c92e75551743;Cove;Cambridgeshire THX;Soft Rwanda microchip;Division Extended;2023-02-17;21652;15961;43428
113da482-d8f3-4588-bf0b-11dfbc55f4bb;Response;Tonga Bedfordshire Rubber;Iran;multi-byte;2023-02-17;23995;71844;530
83128a56-dff2-47b3-aa43-5bcd9612aaec;Managed hacking;calculating lavender;even-keeled;Wooden;2023-02-16;40863;19143;48277
5b088d8f-2097-458b-a45c-3eeaa07e9ddf;gold index visualize;bricks-and-clicks Chief;Fresh envisioneer;withdrawal bypassing;2023-02-17;56811;22547;18633
ce53e330-2518-46d3-b44c-d5c8fc33d259;Chicken needs-based;responsive invoice time-frame;Yuan haptic 1080p;Groves Cambridgeshire;2023-02-17;20921;53794;15238
44f19bfc-3d6c-4f31-ad49-c63ce0d4d784;Central online deposit;Face Coordinator;Small Chair Metrics;exploit optical azure;2023-02-16;70122;6080;21707
576f21e7-770b-49fe-9e57-5cb5e09375e1;schemas Idaho;up;Berkshire Trail;Assurance;2023-02-17;24044;99226;48579
60dcc7eb-9e62-455c-b5f3-a2bac7875529;Ergonomic;relationships Lead;Rubber interface initiatives;GB capability Wooden;2023-02-16;22583;90573;34027
fdcdcad9-01e6-49b5-b326-ac165ddb7b4d;alarm;sticky;bricks-and-clicks;Home copying Agent;2023-02-17;88848;60274;35177
3b86a91e-780b-47a4-bd89-2d13d0077a2d;extend;Sports quantifying infrastructures;Bulgaria;Director;2023-02-17;89650;19500;76343
