id;name;description
32a4bc31-c06c-4555-8967-5acb3e0e6280;Awesome;Tactics
9906cb96-43aa-4fc2-af5b-ad6ce4e135d5;USB Cordoba Concrete;array
0a114f6a-0b8a-4f93-89c5-9d5a66088509;redundant Canada Djibouti;Account Kip
ff609f7c-ef23-4759-afa1-13a063643ea0;platforms holistic Bedfordshire;Creative
772cf363-26e2-4bf8-a608-0c39b80851c9;sensor;JBOD Home lavender
f21b2da0-f8ab-432a-ad13-574d52a5581e;deposit Bedfordshire;Cloned
f6fb0bc8-efd8-49b9-a9e4-2d93f638c728;Stream;Response Books customized
23db6bc7-7490-4ec6-b167-6fdc778c0c8a;port haptic;hacking Buckinghamshire Ball
444620dc-7dd1-4d0b-beac-732494bbe99c;virtual Creative;Hat
6abfa41b-f673-4181-b227-06ecfbdfe88f;extend generation;JSON
